Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,254.500000,255.160004,241.009995,242.399994,242.399994,98363500
2022-10-04,250.520004,257.500000,242.009995,249.440002,249.440002,109578500
2022-10-05,245.009995,246.669998,233.270004,240.809998,240.809998,86982700
2022-10-06,239.440002,244.580002,235.350006,238.130005,238.130005,69298400
2022-10-07,233.940002,234.570007,222.020004,223.070007,223.070007,83916800
2022-10-10,223.929993,226.990005,218.360001,222.960007,222.960007,67925000
2022-10-11,220.949997,225.750000,215.000000,216.500000,216.500000,77013200
2022-10-12,215.330002,219.300003,211.509995,217.240005,217.240005,66860700
2022-10-13,208.300003,222.990005,206.220001,221.720001,221.720001,91483000
2022-10-14,224.009995,226.259995,204.160004,204.990005,204.990005,94124500
2022-10-17,210.039993,221.860001,209.449997,219.350006,219.350006,79428800
2022-10-18,229.500000,229.820007,217.250000,220.190002,220.190002,75891900
2022-10-19,219.800003,222.929993,217.779999,222.039993,222.039993,66571500
2022-10-20,208.279999,215.550003,202.000000,207.279999,207.279999,117798100
2022-10-21,206.419998,214.660004,203.800003,214.440002,214.440002,75713800
2022-10-24,205.820007,213.500000,198.589996,211.250000,211.250000,100446800
2022-10-25,210.100006,224.350006,210.000000,222.419998,222.419998,96507900
2022-10-26,219.399994,230.600006,218.199997,224.639999,224.639999,85012500
2022-10-27,229.770004,233.809998,222.850006,225.089996,225.089996,61638800
2022-10-28,225.399994,228.860001,216.350006,228.520004,228.520004,69152400
